receiver,amount
0x06de97c3b9ee15692505e3e9fc78956eba69adc9,70
0x46d780b68cfb23f3f4ecb14aca4bcfb923f8b2d3,70
0x85dee2a5626d3d0eef87c01fb6a625d224b3d2e5,70
0x422d8b885cf7b775209b55b164b3b74bcd6257e2,70
0xa6315f148340ca39228223d4a67c137f315a9d60,70
0xbd8b79b9e74b8f3ab15badab53ffc981c8abbae2,70
0x1e295976ea9a93dec3cf80ecbbc1344798359995,70
0xdaf288eea1a696ecb1dd37a1e6b2a4058a604e7c,70
0xcd8c98ad14a6aa71cfd25359327f7c8f3fe15c69,70
0x5478d62322328cb1fa565e8847eccd5e3428480b,70
0xeb7f94dfc94feadfffff19cae48452d3e1a8a7aa,70
0x8ce9f7b042fce1971b73240d16849a684a2657d5,70
0xa3ec5f935ebc23e84909e7fc0322b4dd9bf71e65,70
0x956102468707ab893ec0644086ae78a05b46e713,70
0x70d541148c2c22f882fd4641335d62511a9fead2,70
0xb9889c3454162125deed5f10f95389bfd1163a3c,70
0x0565901e28c10290458daeab475c6db0bcae1290,70
0xfa5d2d563367453babc04339df6b96ea75ff79f8,70
0xbf28dfeba9bcf5e1c73a30c308e1dc14077c1e70,70
0xc91e1be4cd6c3a3382f078bf20cd0da93067d803,70
0xeaf45b5ffbc9218c85c65ee7002652fb45ad19d4,70
0x08f6b25229b9f546ba368933f203f784e1fbf68e,70
0x0f13316b80872eda120d7844ed1c1e90fc001dc1,70
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,70
0x4b4324bcc6db9380abbbbd20b24a16c11fb5b38a,70
0x9c10889f3a55672e30adf47d2f1431e2633fbd2c,70
0xee41c8a36daf7cfea11a401962051ea337a6608d,70
0x54a28f6f2c8209876c9abd2cb950e7fc4f96a283,70
0x7c6adeec3f10e2c229cd506fd2a37de1850aefab,70
0xeac855c5e53f41910bed79ca1803302174e1efc2,70
0x11fded3e44f8b22fa21d20145014be52537680be,70
0xa28416a2e63e1a6fbf1723d830dec5a330929837,70
0xc6903ccb1cbaec8ee27e5c629ee15b72f833cbf3,70
0xf6228b371ed59e03d579e4b570dd5c8a7d25326c,70
0x093d3a9a117aa748c5bac2085c31cd1cf5c32b23,70
